Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:2.44,286
'0:0:2.46,288
'0:0:2.48,283
'0:0:2.5,276
'0:0:2.52,278
'0:0:2.54,288
'0:0:2.56,296
'0:0:2.58,292
'0:0:2.6,283
'0:0:2.62,282
'0:0:2.64,286
'0:0:2.66,292
'0:0:2.68,310
'0:0:2.7,363
'0:0:2.72,436
'0:0:2.74,497
'0:0:2.76,525
'0:0:2.78,511
'0:0:2.8,470
'0:0:2.82,429
'0:0:2.84,396
'0:0:2.86,369
'0:0:2.88,344
'0:0:2.9,317
'0:0:2.92,298
'0:0:2.94,290
'0:0:2.96,288
'0:0:2.98,284
'0:0:3.0,281
'0:0:3.02,285
'0:0:3.04,294
'0:0:3.06,297
'0:0:3.08,294
'0:0:3.1,286
'0:0:3.12,282
'0:0:3.14,284
'0:0:3.16,285
'0:0:3.18,281
'0:0:3.2,272
'0:0:3.22,268
'0:0:3.24,274
'0:0:3.26,280
'0:0:3.28,280
'0:0:3.3,275
'0:0:3.32,275
'0:0:3.34,287
'0:0:3.36,293
'0:0:3.38,288
'0:0:3.4,288
'0:0:3.42,320
'0:0:3.44,396
'0:0:3.46,478
'0:0:3.48,530
'0:0:3.5,541
'0:0:3.52,523
'0:0:3.54,489
'0:0:3.56,444
'0:0:3.58,392
'0:0:3.6,345
'0:0:3.62,312
'0:0:3.64,305
'0:0:3.66,291
'0:0:3.68,269
'0:0:3.7,256
'0:0:3.72,265
'0:0:3.74,276
'0:0:3.76,271
'0:0:3.78,249
'0:0:3.8,226
'0:0:3.82,223
'0:0:3.84,243
'0:0:3.86,274
'0:0:3.88,293
'0:0:3.9,294
'0:0:3.92,291
'0:0:3.94,282
'0:0:3.96,262
'0:0:3.98,238
'0:0:4.0,215
'0:0:4.02,211
'0:0:4.04,238
'0:0:4.06,292
'0:0:4.08,342
'0:0:4.1,364
'0:0:4.12,360
'0:0:4.14,341
'0:0:4.16,332
'0:0:4.18,355
'0:0:4.2,426
'0:0:4.22,531
'0:0:4.24,640
'0:0:4.26,751
'0:0:4.28,1013
'0:0:4.3,1022
'0:0:4.32,1022
'0:0:4.34,1022
'0:0:4.36,1023
'0:0:4.38,1022
'0:0:4.4,1022
'0:0:4.42,1022
'0:0:4.44,1022
'0:0:4.46,1022
'0:0:4.48,939
'0:0:4.5,434
'0:0:4.52,0
'0:0:4.54,0
'0:0:4.56,0
'0:0:4.58,0
'0:0:4.6,0
'0:0:4.62,0
'0:0:4.64,0
'0:0:4.66,5
'0:0:4.68,69
'0:0:4.7,151
'0:0:4.72,203
'0:0:4.74,209
'0:0:4.76,183
'0:0:4.78,154
'0:0:4.8,116
'0:0:4.82,38
'0:0:4.84,0
'0:0:4.86,0
'0:0:4.88,0
'0:0:4.9,0
'0:0:4.92,5
'0:0:4.94,62
'0:0:4.96,132
'0:0:4.98,144
'0:0:5.0,153
'0:0:5.02,170
'0:0:5.04,190
'0:0:5.06,186
'0:0:5.08,151
'0:0:5.1,102
'0:0:5.12,73
'0:0:5.14,72
'0:0:5.16,80
'0:0:5.18,83
'0:0:5.2,80
'0:0:5.22,78
'0:0:5.24,67
'0:0:5.26,39
'0:0:5.28,0
'0:0:5.3,0
'0:0:5.32,0
'0:0:5.34,0
'0:0:5.36,0
'0:0:5.38,0
'0:0:5.4,0
'0:0:5.42,0
'0:0:5.44,0
'0:0:5.46,2
'0:0:5.48,25
'0:0:5.5,80
'0:0:5.52,152
'0:0:5.54,210
'0:0:5.56,255
'0:0:5.58,315
'0:0:5.6,377
'0:0:5.62,420
'0:0:5.64,443
'0:0:5.66,438
'0:0:5.68,415
'0:0:5.7,388
'0:0:5.72,365
'0:0:5.74,348
'0:0:5.76,337
'0:0:5.78,332
'0:0:5.8,331
'0:0:5.82,340
'0:0:5.84,360
'0:0:5.86,369
'0:0:5.88,360
'0:0:5.9,354
'0:0:5.92,359
'0:0:5.94,365
'0:0:5.96,364
'0:0:5.98,357
'0:0:6.0,363
'0:0:6.02,385
'0:0:6.04,405
'0:0:6.06,406
'0:0:6.08,386
'0:0:6.1,355
'0:0:6.12,330
'0:0:6.14,315
'0:0:6.16,311
'0:0:6.18,305
'0:0:6.2,301
